title,dosage_form,manufacturer,strength,price,url
Gentacin,Injection,Techno Drugs Ltd.,50 mg/ml,"10 ml vial :
            
                                    ৳ 30.00",https://medex.com.bd/brands/32132/gentacin-50mg
Gentamax,Oral Powder,Techno Drugs Ltd.,200 mg/gm,"100 gm pack :
            
                                    ৳ 600.00",https://medex.com.bd/brands/32152/gentamax-200mg
Gentasol,IM/IV Injection,Techno Drugs Ltd.,80 mg/2 ml,"2 ml ampoule :
            
                                    ৳ 10.95",https://medex.com.bd/brands/8393/gentasol-80mg
Gentian Violet,Topical Solution,Momotaz Pharmaceuticals Ltd.,2%,"15 ml solution :
            
                                    ৳ 12.00",https://medex.com.bd/brands/12878/gentian-violet-2
Genticin HC,Cream,Nicholas,0.3%+1%,"15 gm tube :
            
                                    ৳ 111.10",https://medex.com.bd/brands/20628/genticin-hc-031
Gentin,Cream,Opsonin Pharma Ltd.,0.3%,"10 gm tube :
            
                                    ৳ 12.54",https://medex.com.bd/brands/8414/gentin-03
Gentin,IM/IV Injection,Opsonin Pharma Ltd.,80 mg/2 ml,"2 ml ampoule :
            
                                    ৳ 14.00",https://medex.com.bd/brands/8394/gentin-80mg
Gentin,IM/IV Injection,Opsonin Pharma Ltd.,20 mg/2 ml,"2 ml ampoule :
            
                                    ৳ 6.08",https://medex.com.bd/brands/8395/gentin-20mg
Gentin,Ophthalmic Solution,Opso Saline Ltd.,0.3%,"10 ml drop :
            
                                    ৳ 31.37",https://medex.com.bd/brands/8404/gentin-03
Gentin,Ophthalmic Ointment,Opso Saline Ltd.,0.3%,"3 gm tube :
            
                                    ৳ 9.03",https://medex.com.bd/brands/8405/gentin-03
Gentin HC,Ear Drop,Opso Saline Ltd.,0.3%+1%,"5 ml drop :
            
                                    ৳ 55.20",https://medex.com.bd/brands/13045/gentin-hc-031
Gento,Ophthalmic Solution,Gaco Pharmaceuticals Ltd.,0.3%,"10 ml drop :
            
                                    ৳ 31.60",https://medex.com.bd/brands/8423/gento-03
Gento,Ophthalmic Ointment,Gaco Pharmaceuticals Ltd.,0.3%,"5 gm tube :
            
                                    ৳ 10.10",https://medex.com.bd/brands/8407/gento-03
Gento,Ointment,Gaco Pharmaceuticals Ltd.,0.3%,"5 gm tube :
            
                                    ৳ 9.12",https://medex.com.bd/brands/8415/gento-03
Gento-HC,Cream,Gaco Pharmaceuticals Ltd.,0.3%+1%,"10 gm tube :
            
                                    ৳ 60.18",https://medex.com.bd/brands/12672/gento-hc-031
Gento-HC,Ear Drop,Gaco Pharmaceuticals Ltd.,0.3%+1%,"10 ml drop :
            
                                    ৳ 60.18",https://medex.com.bd/brands/28144/gento-hc-031
Gentob,Ophthalmic Ointment,General Pharmaceuticals Ltd.,0.3%,"3 gm tube :
            
                                    ৳ 80.00",https://medex.com.bd/brands/15722/gentob-03
Gentob,Ophthalmic Solution,General Pharmaceuticals Ltd.,0.3%,"5 ml drop :
            
                                    ৳ 100.00",https://medex.com.bd/brands/15721/gentob-03
Gentosep,Cream,Beximco Pharmaceuticals Ltd.,0.3%,"15 mg tube :
            
                                    ৳ 18.50",https://medex.com.bd/brands/8416/gentosep-03
Gentrim,Oral Suspension,General Pharmaceuticals Ltd.,(200 mg+40 mg)/5 ml,"60 ml bottle :
            
                                    ৳ 21.19",https://medex.com.bd/brands/9019/gentrim-200mg
Gentum,Ophthalmic Solution,Drug International Ltd.,0.3%,"10 ml drop :
            
                                    ৳ 31.50",https://medex.com.bd/brands/12960/gentum-03
Geofenac TR,Capsule (Timed Release),Biogen Pharmaceuticals Ltd.,100 mg,Unit Price : ৳ 5.50,https://medex.com.bd/brands/30321/geofenac-tr-100mg
Geoflox,Tablet,Sharif Pharmaceuticals Ltd.,320 mg,Unit Price : ৳ 65.19,https://medex.com.bd/brands/9413/geoflox-320mg
Gepin,Tablet,General Pharmaceuticals Ltd.,150 mg,Unit Price : ৳ 2.01,https://medex.com.bd/brands/1701/gepin-150mg
Gepin,Syrup,General Pharmaceuticals Ltd.,75 mg/5 ml,"100 ml bottle :
            
                                    ৳ 50.00",https://medex.com.bd/brands/1702/gepin-75mg
Gepin,IM/IV Injection,General Pharmaceuticals Ltd.,50 mg/2 ml,"2 ml ampoule :
            
                                    ৳ 10.03",https://medex.com.bd/brands/1703/gepin-50mg
Gerdex,Oral Suspension,Ibn Sina Pharmaceuticals Ltd.,(500 mg+100 mg)/5 ml,"200 ml bottle :
            
                                    ৳ 150.00",https://medex.com.bd/brands/24557/gerdex-500mg
Gerdnil,Capsule (Delayed Release),Team Pharmaceuticals Ltd.,30 mg,Unit Price : ৳ 9.00,https://medex.com.bd/brands/29981/gerdnil-30mg
Gerdnil,Capsule (Delayed Release),Team Pharmaceuticals Ltd.,60 mg,Unit Price : ৳ 16.00,https://medex.com.bd/brands/29982/gerdnil-60mg
Gerdo,Tablet (Enteric Coated),Nuvista Pharma Ltd.,20 mg,Unit Price : ৳ 7.02,https://medex.com.bd/brands/26713/gerdo-20mg
Gerdo,Capsule (Delayed Release),Navana Pharmaceuticals Ltd.,20 mg,Unit Price : ৳ 7.02,https://medex.com.bd/brands/26132/gerdo-20mg
Geriton-MD,Tablet,Ethical Drug Ltd.,,Unit Price : ৳ 5.00,https://medex.com.bd/brands/28093/geriton-md
Germ Kill,Hand Rub,Social Marketing Company,70%,"50 ml tube :
            
                                    ৳ 80.00",https://medex.com.bd/brands/30257/germ-kill-70
Germgurd,Hand Rub,Pharmasia Limited,75%+0.125%+1.45%,"50 ml bottle :
            
                                    ৳ 60.00",https://medex.com.bd/brands/30295/germgurd-750125
Germgurd,Hand Rub,Pharmasia Limited,66%+3.5%,"50 ml bottle :
            
                                    ৳ 100.00",https://medex.com.bd/brands/31523/germgurd-6635
Germicin,Oral Powder,Chemist Laboratories  Ltd.,200 mg/gm,"100 gm pack :
            
                                    ৳ 390.00",https://medex.com.bd/brands/32105/germicin-200mg
Germicord,Topical Solution,Square Pharmaceuticals Ltd.,7.1%,"10 ml bottle :
            
                                    ৳ 30.00",https://medex.com.bd/brands/27509/germicord-71
Germisol,Hand Rub,Square Pharmaceuticals Ltd.,0.5%+70%,"50 ml bottle :
            
                                    ৳ 40.00",https://medex.com.bd/brands/12821/germisol-0570
Germlock,Hand Rub,Delta Pharma Ltd.,66%+3.5%,"50 ml bottle :
            
                                    ৳ 80.00",https://medex.com.bd/brands/28974/germlock-6635
Geston,Tablet,Square Pharmaceuticals Ltd.,5 mg,Unit Price : ৳ 8.03,https://medex.com.bd/brands/25934/geston-5mg
Gestop 28,Tablet,Incepta Pharmaceuticals Ltd.,0.03 mg+0.075 mg,"(21 white+7 light red) tablet :
            
                                    ৳ 99.75",https://medex.com.bd/brands/6109/gestop-28-003mg
Gestrenol,Tablet,Renata Limited,5 mg,Unit Price : ৳ 8.03,https://medex.com.bd/brands/25933/gestrenol-5mg
Getbion,Tablet,Get Well Ltd.,100 mg+200 mg+200 mcg,Unit Price : ৳ 8.00,https://medex.com.bd/brands/25319/getbion-100mg
Getinib,Tablet,Drug International Ltd.,250 mg,Unit Price : ৳ 250.00,https://medex.com.bd/brands/28365/getinib-250mg
Giane,Tablet,Renata Limited,2 mg+0.035 mg,"21 tablet pack :
            
                                    ৳ 199.50",https://medex.com.bd/brands/12763/giane-2mg
Gide,Tablet,Medicon Pharmaceuticals Ltd.,80 mg,Unit Price : ৳ 6.82,https://medex.com.bd/brands/5232/gide-80mg
Gidonic,Oral Suspension,Novelta Bestway Pharma Ltd.,5 mg/5 ml,"60 ml bottle :
            
                                    ৳ 28.09",https://medex.com.bd/brands/1589/gidonic-5mg
Gidonic,Tablet,Novelta Bestway Pharma Ltd.,10 mg,Unit Price : ৳ 2.01,https://medex.com.bd/brands/1588/gidonic-10mg
Gidora,Tablet,Rephco Pharmaceuticals Ltd.,10 mg,Unit Price : ৳ 2.00,https://medex.com.bd/brands/1590/gidora-10mg
Gidora,Oral Suspension,Rephco Pharmaceuticals Ltd.,5 mg/5 ml,"60 ml bottle :
            
                                    ৳ 30.00",https://medex.com.bd/brands/1591/gidora-5mg
Gifon,Tablet,Monicopharma Ltd.,2 mg,Unit Price : ৳ 5.00,https://medex.com.bd/brands/5341/gifon-2mg
Gifon,Tablet,Monicopharma Ltd.,1 mg,Unit Price : ৳ 3.00,https://medex.com.bd/brands/20721/gifon-1mg
Gigabac,IM/IV Injection,Square Pharmaceuticals Ltd.,1 MIU,"1 MIU vial :
            
                                    ৳ 400.00",https://medex.com.bd/brands/29171/gigabac-1miu
Gigabac,IM/IV Injection,Square Pharmaceuticals Ltd.,4.5 MIU,"4.5 MIU vial :
            
                                    ৳ 1,000.00",https://medex.com.bd/brands/29172/gigabac-45miu
Gigacef,Powder for Suspension,Pacific Pharmaceuticals Ltd.,125 mg/5 ml,"100 ml bottle :
            
                                    ৳ 85.00",https://medex.com.bd/brands/6901/gigacef-125mg
Gigacef,Capsule,Pacific Pharmaceuticals Ltd.,500 mg,Unit Price : ৳ 15.00,https://medex.com.bd/brands/6900/gigacef-500mg
Gigacef,Pediatric Drops,Pacific Pharmaceuticals Ltd.,125 mg/1.25 ml,"15 ml bottle :
            
                                    ৳ 63.00",https://medex.com.bd/brands/28539/gigacef-125mg
Giloba,Capsule,Square Pharmaceuticals Ltd.,120 mg,Unit Price : ৳ 15.00,https://medex.com.bd/brands/27664/giloba-120mg
Giloba,Capsule,Square Pharmaceuticals Ltd.,60 mg,Unit Price : ৳ 10.00,https://medex.com.bd/brands/27665/giloba-60mg
Gimrox,Tablet,Globex Pharmaceuticals Ltd.,500 mg,Unit Price : ৳ 45.00,https://medex.com.bd/brands/25799/gimrox-500mg
Gimrox,IM/IV Injection,Globex Pharmaceuticals Ltd.,750 mg/vial,"750 mg vial :
            
                                    ৳ 120.00",https://medex.com.bd/brands/25800/gimrox-750mg
Gimrox,Tablet,Globex Pharmaceuticals Ltd.,250 mg,Unit Price : ৳ 25.00,https://medex.com.bd/brands/25798/gimrox-250mg
Gimrox,Powder for Suspension,Globex Pharmaceuticals Ltd.,125 mg/5 ml,"70 ml bottle :
            
                                    ৳ 190.00",https://medex.com.bd/brands/25797/gimrox-125mg
Ginera,Capsule,Renata Limited,500 mg,Unit Price : ৳ 25.00,https://medex.com.bd/brands/29867/ginera-500mg
Gingo,Capsule,ACME Laboratories Ltd.,60 mg,Unit Price : ৳ 6.00,https://medex.com.bd/brands/29727/gingo-60mg
Gingo,Capsule,ACME Laboratories Ltd.,40 mg,Unit Price : ৳ 5.00,https://medex.com.bd/brands/29726/gingo-40mg
Gingoba,Tablet,Ibn Sina Pharmaceuticals Ltd.,40 mg,Unit Price : ৳ 10.00,https://medex.com.bd/brands/31653/gingoba-40mg
Gingoba,Tablet,Ibn Sina Pharmaceuticals Ltd.,120 mg,Unit Price : ৳ 16.00,https://medex.com.bd/brands/31652/gingoba-120mg
Ginkgo-B,Capsule,Aristopharma Ltd.,60 mg,Unit Price : ৳ 20.00,https://medex.com.bd/brands/31918/ginkgo-b-60mg
Ginoba,Capsule,Radiant Nutraceuticals Ltd.,60 mg,Unit Price : ৳ 20.00,https://medex.com.bd/brands/27683/ginoba-60mg
Ginsina,Capsule,Ibn Sina Pharmaceuticals Ltd.,500 mg,Unit Price : ৳ 8.00,https://medex.com.bd/brands/31654/ginsina-500mg
Gintex,Capsule,Square Pharmaceuticals Ltd.,500 mg,Unit Price : ৳ 10.00,https://medex.com.bd/brands/27655/gintex-500mg
Ginton,Capsule,Hamdard Bangladesh,500 mg,Unit Price : ৳ 12.00,https://medex.com.bd/brands/29631/ginton-500mg
Gintonic,Capsule,ACME Laboratories Ltd.,500 mg,Unit Price : ৳ 7.00,https://medex.com.bd/brands/29728/gintonic-500mg
Gipid,Tablet,Alco Pharma Ltd.,1 mg,Unit Price : ৳ 4.00,https://medex.com.bd/brands/20712/gipid-1mg
Gipid,Tablet,Alco Pharma Ltd.,2 mg,Unit Price : ৳ 6.50,https://medex.com.bd/brands/20713/gipid-2mg
Giran,Tablet,Aristopharma Ltd.,16 mg,Unit Price : ৳ 11.00,https://medex.com.bd/brands/2686/giran-16mg
Giran,Tablet,Aristopharma Ltd.,8 mg,Unit Price : ৳ 6.00,https://medex.com.bd/brands/2685/giran-8mg
Giran-H,Tablet,Aristopharma Ltd.,8 mg+12.5 mg,Unit Price : ৳ 6.00,https://medex.com.bd/brands/2927/giran-h-8mg
Gisin,Ophthalmic Solution,Nipa Pharmaceuticals Ltd.,0.3%,"10 ml drop :
            
                                    ৳ 30.36",https://medex.com.bd/brands/8409/gisin-03
Gisin-H,Ear Drop,Nipa Pharmaceuticals Ltd.,0.3%+1%,"5 ml drop :
            
                                    ৳ 50.00",https://medex.com.bd/brands/13046/gisin-h-031
Gitabin,IV Infusion,BOTS Pvt. Limited,1 gm/vial,"1 gm vial :
            
                                    ৳ 6,500.00",https://medex.com.bd/brands/26696/gitabin-1gm
Gitabin,IV Infusion,BOTS Pvt. Limited,200 mg/vial,"200 mg vial :
            
                                    ৳ 1,950.00",https://medex.com.bd/brands/17275/gitabin-200mg
GL-80,Tablet,Central Pharmaceuticals Ltd.,80 mg,Unit Price : ৳ 7.00,https://medex.com.bd/brands/5268/gl-80-80mg
Glad,Tablet,SANDOZ (A Novartis Division),80 mg,Unit Price : ৳ 8.00,https://medex.com.bd/brands/5233/glad-80mg
Glagin,Tablet,Organic Health Care,80 mg,Unit Price : ৳ 7.00,https://medex.com.bd/brands/5269/glagin-80mg
Glamor,Ophthalmic Solution,Ibn Sina Pharmaceuticals Ltd.,0.2%+0.2%,"10 ml drop :
            
                                    ৳ 90.00",https://medex.com.bd/brands/16129/glamor-0202
Glarine,SC Injection,ACI Limited,100 IU/ml,"3 ml biopen :
            
                                    ৳ 950.00",https://medex.com.bd/brands/27550/glarine-100iu
Glarine,SC Injection,ACI Limited,100 IU/ml,"3 ml vial :
            
                                    ৳ 600.00",https://medex.com.bd/brands/16834/glarine-100iu
Glaxipro,Tablet,GlaxoSmithKline,500 mg,Unit Price : ৳ 15.00,https://medex.com.bd/brands/9288/glaxipro-500mg
Glazide,Tablet,Techno Drugs Ltd.,80 mg,Unit Price : ৳ 6.00,https://medex.com.bd/brands/5234/glazide-80mg
Gleazy,Topical Gel,Square Pharmaceuticals Ltd.,(1 gm + 1.3 gm)/50 gm,"50 ml tube :
            
                                    ৳ 175.00",https://medex.com.bd/brands/31874/gleazy-1gm
Gleek,Tablet,United Pharmaceuticals Ltd.,80 mg,Unit Price : ৳ 7.02,https://medex.com.bd/brands/5270/gleek-80mg
Glemep,Tablet,Healthcare Pharmaceuticals Ltd.,2 mg,Unit Price : ৳ 5.00,https://medex.com.bd/brands/5299/glemep-2mg
Gleron,Tablet,Renata Limited,90 mg,Unit Price : ৳ 75.00,https://medex.com.bd/brands/30347/gleron-90mg
Glica,Tablet,Modern Pharmaceuticals Ltd.,80 mg,Unit Price : ৳ 5.00,https://medex.com.bd/brands/5235/glica-80mg
Glicana,Tablet,Incepta Pharmaceuticals Ltd.,100 mg,Unit Price : ৳ 60.00,https://medex.com.bd/brands/18514/glicana-100mg
Glicasil,Tablet,Silva Pharmaceuticals Ltd.,80 mg,Unit Price : ৳ 5.02,https://medex.com.bd/brands/5236/glicasil-80mg
Gliclid,Tablet,ACME Laboratories Ltd.,80 mg,Unit Price : ৳ 7.02,https://medex.com.bd/brands/5237/gliclid-80mg
Gliclid MR,Tablet (Modified Release),ACME Laboratories Ltd.,30 mg,Unit Price : ৳ 6.01,https://medex.com.bd/brands/20656/gliclid-mr-30mg
Gliclid MR,Tablet (Modified Release),ACME Laboratories Ltd.,60 mg,Unit Price : ৳ 11.00,https://medex.com.bd/brands/28265/gliclid-mr-60mg
Glicron,Tablet,Renata Limited,80 mg,Unit Price : ৳ 7.00,https://medex.com.bd/brands/5238/glicron-80mg
Glicron CR,Capsule (Controlled Release),Renata Limited,30 mg,Unit Price : ৳ 6.02,https://medex.com.bd/brands/5239/glicron-cr-30mg
Glifo,Tablet,ACME Laboratories Ltd.,10 mg,Unit Price : ৳ 25.00,https://medex.com.bd/brands/26512/glifo-10mg
Glifo,Tablet,ACME Laboratories Ltd.,25 mg,Unit Price : ৳ 40.00,https://medex.com.bd/brands/26513/glifo-25mg
Glifo-M,Tablet,ACME Laboratories Ltd.,5 mg+500 mg,Unit Price : ৳ 20.00,https://medex.com.bd/brands/29307/glifo-m-5mg
Glifomet,Tablet,Navana Pharmaceuticals Ltd.,5 mg+500 mg,Unit Price : ৳ 15.00,https://medex.com.bd/brands/30908/glifomet-5mg
Glikazid,Tablet,Eskayef Pharmaceuticals Ltd.,80 mg,Unit Price : ৳ 5.00,https://medex.com.bd/brands/20674/glikazid-80mg
Glikazid MR,Tablet (Modified Release),Eskayef Pharmaceuticals Ltd.,60 mg,Unit Price : ৳ 10.00,https://medex.com.bd/brands/5271/glikazid-mr-60mg
Glikazid MR,Tablet (Modified Release),Eskayef Pharmaceuticals Ltd.,30 mg,Unit Price : ৳ 5.00,https://medex.com.bd/brands/26756/glikazid-mr-30mg
Glimerol,Tablet,Drug International Ltd.,5 mg,Unit Price : ৳ 3.05,https://medex.com.bd/brands/5353/glimerol-5mg
Glimet,Tablet,Drug International Ltd.,1 mg,Unit Price : ৳ 3.00,https://medex.com.bd/brands/5542/glimet-1mg
Glimet,Tablet,Millat Pharmaceuticals Ltd.,850 mg,Unit Price : ৳ 4.00,https://medex.com.bd/brands/5381/glimet-850mg
Glimicron,Tablet,The White Horse Pharma,80 mg,Unit Price : ৳ 7.00,https://medex.com.bd/brands/5240/glimicron-80mg
Glimicron MR,Tablet (Modified Release),The White Horse Pharma,60 mg,Unit Price : ৳ 11.00,https://medex.com.bd/brands/27921/glimicron-mr-60mg
Glimicron MR,Tablet (Modified Release),The White Horse Pharma,30 mg,Unit Price : ৳ 7.00,https://medex.com.bd/brands/27920/glimicron-mr-30mg
Glimirid,Tablet,ACI Limited,1 mg,Unit Price : ৳ 6.00,https://medex.com.bd/brands/5300/glimirid-1mg
Glimirid,Tablet,ACI Limited,2 mg,Unit Price : ৳ 9.00,https://medex.com.bd/brands/5301/glimirid-2mg
Glimirid,Tablet,ACI Limited,4 mg,Unit Price : ৳ 15.00,https://medex.com.bd/brands/5303/glimirid-4mg
Glimirid,Tablet,ACI Limited,3 mg,Unit Price : ৳ 12.00,https://medex.com.bd/brands/5302/glimirid-3mg
Glimitus,Tablet,Ziska Pharmaceuticals Ltd.,4 mg,Unit Price : ৳ 15.00,https://medex.com.bd/brands/31070/glimitus-4mg
Glimitus,Tablet,Ziska Pharmaceuticals Ltd.,3 mg,Unit Price : ৳ 12.00,https://medex.com.bd/brands/31069/glimitus-3mg
Glimitus,Tablet,Ziska Pharmaceuticals Ltd.,2 mg,Unit Price : ৳ 9.00,https://medex.com.bd/brands/31068/glimitus-2mg
Glimitus,Tablet,Ziska Pharmaceuticals Ltd.,1 mg,Unit Price : ৳ 6.00,https://medex.com.bd/brands/31067/glimitus-1mg
Glimitus M,Bilayer Tablet,Ziska Pharmaceuticals Ltd.,2 mg+500 mg,Unit Price : ৳ 12.00,https://medex.com.bd/brands/30924/glimitus-m-2mg
Glimitus M,Bilayer Tablet,Ziska Pharmaceuticals Ltd.,1 mg+500 mg,Unit Price : ৳ 9.00,https://medex.com.bd/brands/30925/glimitus-m-1mg
Glims,Tablet,Opsonin Pharma Ltd.,2 mg,Unit Price : ৳ 9.00,https://medex.com.bd/brands/5305/glims-2mg
Glims,Tablet,Opsonin Pharma Ltd.,4 mg,Unit Price : ৳ 15.00,https://medex.com.bd/brands/30299/glims-4mg
Glims,Tablet,Opsonin Pharma Ltd.,3 mg,Unit Price : ৳ 12.00,https://medex.com.bd/brands/30298/glims-3mg
Glims,Tablet,Opsonin Pharma Ltd.,1 mg,Unit Price : ৳ 6.00,https://medex.com.bd/brands/5304/glims-1mg
Glinta,Tablet,Renata Limited,5 mg,Unit Price : ৳ 20.00,https://medex.com.bd/brands/26637/glinta-5mg
Glinta-M,Tablet,Renata Limited,2.5 mg+500 mg,Unit Price : ৳ 12.00,https://medex.com.bd/brands/30361/glinta-m-25mg
Glinta-M,Tablet,Renata Limited,2.5 mg+850 mg,Unit Price : ৳ 14.00,https://medex.com.bd/brands/30362/glinta-m-25mg
Glipatab,Tablet,Ibn Sina Pharmaceuticals Ltd.,10 mg,Unit Price : ৳ 16.00,https://medex.com.bd/brands/31134/glipatab-10mg
Glipatab,Tablet,Ibn Sina Pharmaceuticals Ltd.,25 mg,Unit Price : ৳ 32.00,https://medex.com.bd/brands/31135/glipatab-25mg
Glipita,Tablet,Beximco Pharmaceuticals Ltd.,100 mg,Unit Price : ৳ 25.00,https://medex.com.bd/brands/5503/glipita-100mg
Glipita,Tablet,Beximco Pharmaceuticals Ltd.,50 mg,Unit Price : ৳ 13.00,https://medex.com.bd/brands/5502/glipita-50mg
Glipita-M,Tablet,Beximco Pharmaceuticals Ltd.,50 mg+500 mg,Unit Price : ৳ 14.00,https://medex.com.bd/brands/5678/glipita-m-50mg
Glipita-M,Tablet (Extended Release),Beximco Pharmaceuticals Ltd.,50 mg+1000 mg,Unit Price : ৳ 18.00,https://medex.com.bd/brands/29400/glipita-m-50mg
Glipita-M,Tablet (Extended Release),Beximco Pharmaceuticals Ltd.,50 mg+500 mg,Unit Price : ৳ 16.00,https://medex.com.bd/brands/24528/glipita-m-50mg
Glipita-M,Tablet,Beximco Pharmaceuticals Ltd.,50 mg+1000 mg,Unit Price : ৳ 16.00,https://medex.com.bd/brands/5679/glipita-m-50mg
Glipxen,Tablet,Beacon Pharmaceuticals Ltd.,5 mg,Unit Price : ৳ 22.00,https://medex.com.bd/brands/30962/glipxen-5mg
Glipxen-M,Tablet,Beacon Pharmaceuticals Ltd.,2.5 mg+500 mg,Unit Price : ৳ 12.00,https://medex.com.bd/brands/31054/glipxen-m-25mg
Glirid,Tablet,General Pharmaceuticals Ltd.,2 mg,Unit Price : ৳ 9.00,https://medex.com.bd/brands/5307/glirid-2mg
Glirid,Tablet,General Pharmaceuticals Ltd.,1 mg,Unit Price : ৳ 6.00,https://medex.com.bd/brands/5306/glirid-1mg
Glirol,Tablet,Innova Pharma (Albion),80 mg,Unit Price : ৳ 8.25,https://medex.com.bd/brands/20657/glirol-80mg
Glitab,Tablet,Hudson Pharmaceuticals Ltd.,80 mg,Unit Price : ৳ 4.50,https://medex.com.bd/brands/5242/glitab-80mg
Glitamin,Tablet,The White Horse Pharma,15 mg+850 mg,Unit Price : ৳ 10.00,https://medex.com.bd/brands/5642/glitamin-15mg
Glitamin,Tablet,The White Horse Pharma,15 mg+500 mg,Unit Price : ৳ 9.00,https://medex.com.bd/brands/5641/glitamin-15mg
Glitazon,Tablet,Ibn Sina Pharmaceuticals Ltd.,15 mg,Unit Price : ৳ 8.00,https://medex.com.bd/brands/5576/glitazon-15mg
Glitin,Tablet,ACI Limited,5 mg,Unit Price : ৳ 20.00,https://medex.com.bd/brands/5482/glitin-5mg
Glitin M,Tablet,ACI Limited,2.5 mg+850 mg,Unit Price : ৳ 14.00,https://medex.com.bd/brands/26357/glitin-m-25mg
Glitin M,Tablet,ACI Limited,2.5 mg+500 mg,Unit Price : ৳ 12.00,https://medex.com.bd/brands/26356/glitin-m-25mg
Glitin M,Tablet,ACI Limited,2.5 mg+1000 mg,Unit Price : ৳ 16.00,https://medex.com.bd/brands/26355/glitin-m-25mg
Glitz,Tablet,Sharif Pharmaceuticals Ltd.,80 mg,Unit Price : ৳ 7.02,https://medex.com.bd/brands/5243/glitz-80mg
Glivec,Capsule,Novartis (Bangladesh) Ltd.,100 mg,"Unit Price : ৳ 1,672.30",https://medex.com.bd/brands/15118/glivec-100mg
Glivir,Tablet,Virgo Pharmaceuticals Ltd.,80 mg,Unit Price : ৳ 5.00,https://medex.com.bd/brands/20706/glivir-80mg
Glix,Tablet,Navana Pharmaceuticals Ltd.,80 mg,Unit Price : ৳ 7.02,https://medex.com.bd/brands/5272/glix-80mg
Glix MR,Tablet (Modified Release),Navana Pharmaceuticals Ltd.,60 mg,Unit Price : ৳ 12.00,https://medex.com.bd/brands/29020/glix-mr-60mg
Glix MR,Tablet (Modified Release),Navana Pharmaceuticals Ltd.,30 mg,Unit Price : ৳ 7.00,https://medex.com.bd/brands/29019/glix-mr-30mg
Glizid,Tablet,Opsonin Pharma Ltd.,80 mg,Unit Price : ৳ 7.02,https://medex.com.bd/brands/5244/glizid-80mg
Glizid MR,Tablet (Modified Release),Opsonin Pharma Ltd.,30 mg,Unit Price : ৳ 6.02,https://medex.com.bd/brands/5245/glizid-mr-30mg
Glizid MR,Tablet (Modified Release),Opsonin Pharma Ltd.,60 mg,Unit Price : ৳ 11.00,https://medex.com.bd/brands/20689/glizid-mr-60mg
Globexim,Capsule,Globex Pharmaceuticals Ltd.,200 mg,Unit Price : ৳ 30.00,https://medex.com.bd/brands/18743/globexim-200mg
Globexim,Powder for Suspension,Globex Pharmaceuticals Ltd.,200 mg/5 ml,"30 ml bottle :
            
                                    ৳ 120.00",https://medex.com.bd/brands/18744/globexim-200mg
Glomox,Ophthalmic Solution,Globe Pharmaceuticals Ltd.,0.5%,"5 ml drop :
            
                                    ৳ 100.00",https://medex.com.bd/brands/9631/glomox-05
Glophen,Ophthalmic Solution,Globe Pharmaceuticals Ltd.,0.5%,"10 ml drop :
            
                                    ৳ 34.00",https://medex.com.bd/brands/19192/glophen-05
Glophen D,Ophthalmic Solution,Globe Pharmaceuticals Ltd.,0.1%+0.5%,"5 ml drop :
            
                                    ৳ 70.00",https://medex.com.bd/brands/19728/glophen-d-0105
Glory,Capsule (Timed Release),Orion Pharma Ltd.,50 mg+0.50 mg+61.80 mg,Unit Price : ৳ 3.02,https://medex.com.bd/brands/30718/glory-50mg
Glovit Gold,Tablet,Globex Pharmaceuticals Ltd.,,Unit Price : ৳ 6.00,https://medex.com.bd/brands/14095/glovit-gold
Glovocef,Capsule,Globex Pharmaceuticals Ltd.,500 mg,Unit Price : ৳ 12.50,https://medex.com.bd/brands/25895/glovocef-500mg
Glovocef,Powder for Suspension,Globex Pharmaceuticals Ltd.,125 mg/5 ml,"100 ml bottle :
            
                                    ৳ 80.00",https://medex.com.bd/brands/25896/glovocef-125mg
Glovolac,Concentrated Oral Solution,Globex Pharmaceuticals Ltd.,3.35 gm/5 ml,"100 ml bottle :
            
                                    ৳ 120.00",https://medex.com.bd/brands/21361/glovolac-335gm
Gloxen,Tablet,Globe Pharmaceuticals Ltd.,500 mg,Unit Price : ৳ 7.00,https://medex.com.bd/brands/11425/gloxen-500mg
Gloxen,Tablet,Globe Pharmaceuticals Ltd.,250 mg,Unit Price : ৳ 4.00,https://medex.com.bd/brands/11424/gloxen-250mg
Glucart,Tablet,Orion Pharma Ltd.,500 mg,Unit Price : ৳ 2.52,https://medex.com.bd/brands/29477/glucart-500mg
Glucerin,Tablet,Astra Biopharmaceuticals Ltd.,750 mg+50 mg,Unit Price : ৳ 12.00,https://medex.com.bd/brands/19790/glucerin-750mg
Glucium,Tablet,Biopharma Laboratories Ltd.,250 mg+200 mg,Unit Price : ৳ 8.00,https://medex.com.bd/brands/14990/glucium-250mg
Glucium,Tablet,Biopharma Laboratories Ltd.,750 mg+600 mg,Unit Price : ৳ 12.00,https://medex.com.bd/brands/28894/glucium-750mg
Glucium D,Tablet,Biopharma Laboratories Ltd.,750 mg+50 mg,Unit Price : ৳ 12.00,https://medex.com.bd/brands/31977/glucium-d-750mg
Gluco-A,Tablet,ACME Laboratories Ltd.,100 mg,Unit Price : ৳ 20.07,https://medex.com.bd/brands/28266/gluco-a-100mg
Gluco-A,Tablet,ACME Laboratories Ltd.,50 mg,Unit Price : ৳ 11.04,https://medex.com.bd/brands/17353/gluco-a-50mg
